Silla,350
Fuente de servir con pinza,1000
Tablén con caballetes,3000
Panera,350
Mesa Redonda 1,2700
Mesa Redonda 2,2900
Jarra de vidrio,950
Mesa Imperial,3500
Plato de sitio,850
Mantel redondo Blanco,3000
Pocillo café c/ platito,650
Mantel redondo Negro,3250
Tacho,2000
"Mantel Rect. 15,4 x4",3000
"Mantel Rect. 2,2 x 4 Blanco",3500
"Mantel Rect. 2,2 x 4 Negro",3750
Mantel Rect. Imperial Blanco,4000
Mantel Rect. Imperial Negro,4500
Servilleta,180
Funda silla blanca,425
Funda silla Negra,475
Plato Verbano x 25 cm,250
Plato Verbano x 21 cm,230
Plato Verbano x 19 cm,220
Plato Verbano x 16 cm,210
Cubierto x 3,335
Cubierto x 2,270
Cuchara grande,180
Copa vino - agua,250
Copa Champagne,250
Vaso copa sin pie,250
Copa Sidra,250
Copa helado,300
Vaso liso,225
Copa GIN,500
Hielera con pinza,750
Ensaladera porcelana,750
Ensaladera acero,750
Frapera,1000
Fuentina playa grande,750
Fuentina playa mediana,650
Fuentina playa chica,600
Espada,900
Bandeja de mozo,1200
Cazuela,550
